cycle,sm,cta,warp,pc,instruction,event,active_mask,eligible,selected,stall_reason,memory_transaction_count,cache_result,divergence_depth
26,0,0,2,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
26,1,0,10,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
26,1,0,10,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
27,0,0,3,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
27,0,0,3,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
27,1,0,11,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
27,1,0,11,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
28,0,0,4,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
28,0,0,4,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
28,1,0,12,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
28,1,0,12,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
29,0,0,5,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
29,0,0,5,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
29,1,0,13,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
29,1,0,13,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
30,0,0,6,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
30,0,0,6,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
30,1,0,14,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
30,1,0,14,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
31,0,0,7,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
31,0,0,7,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
31,1,0,15,3,"BRA.P p0, low_half",ISSUE,11111111111111111111111111111111,1,1,"",,,
31,1,0,15,8,"BRA.P p0, low_half",DIVERGE,11111111111111110000000000000000,1,0,"",,,
32,0,0,0,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
32,0,0,0,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
32,1,0,8,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
32,1,0,8,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
33,0,0,0,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
33,0,0,1,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
33,0,0,1,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
33,1,0,8,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
33,1,0,9,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
33,1,0,9,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
34,0,0,1,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
34,0,0,2,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
34,0,0,2,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
34,1,0,9,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
34,1,0,10,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
34,1,0,10,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
35,0,0,2,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
35,0,0,3,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
35,0,0,3,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
35,1,0,10,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
35,1,0,11,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
35,1,0,11,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
36,0,0,3,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
36,0,0,4,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
36,0,0,4,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
36,1,0,11,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
36,1,0,12,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
36,1,0,12,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
37,0,0,4,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
37,0,0,5,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
37,0,0,5,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
37,1,0,12,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
37,1,0,13,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
37,1,0,13,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
38,0,0,5,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
38,0,0,6,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
38,0,0,6,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
38,1,0,13,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
38,1,0,14,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
38,1,0,14,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
39,0,0,6,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
39,0,0,7,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
39,0,0,7,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
39,1,0,14,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
39,1,0,15,8,"MOVI r3, 100",ISSUE,11111111111111110000000000000000,1,1,"",,,
39,1,0,15,8,"MOVI r3, 100",EXECUTE,11111111111111110000000000000000,1,0,"",,,
40,0,0,7,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
40,0,0,0,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
40,0,0,0,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
40,1,0,15,9,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
40,1,0,8,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
40,1,0,8,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
41,0,0,0,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
41,0,0,1,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
41,0,0,1,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
41,1,0,8,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
41,1,0,9,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
41,1,0,9,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
42,0,0,1,10,"",WRITEBACK,11111111111111110000000000000000,1,0,"",,,
42,0,0,2,9,"SHL r4, r1, 2",ISSUE,11111111111111110000000000000000,1,1,"",,,
42,0,0,2,9,"SHL r4, r1, 2",EXECUTE,11111111111111110000000000000000,1,0,"",,,
